"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-12","0.00","0.0","0.0","86","53","59"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-13","0.00","0.0","0.0","84","56","57"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-14","0.00","0.0","0.0","84","54","60"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-15","0.00","0.0","0.0","84","49","59"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-16","0.00","0.0","0.0","84","52","67"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-17","0.00","0.0","0.0","89","52","60"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-18","0.00","0.0","0.0","88","53","60"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-19","0.00","0.0","0.0","86","51","59"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-20","0.00","0.0","0.0","76","46","52"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-21","0.00","0.0","0.0","79","53","62"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-22","0.00","0.0","0.0","88","52","60"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-23","0.00","0.0","0.0","92","58","70"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-24","0.00","0.0","0.0","94","56","66"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-25","0.00","0.0","0.0","96","54","56"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-26","0.00","0.0","0.0","91","53","65"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-27","0.00","0.0","0.0","91","61","64"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-28","0.00","0.0","0.0","92","59","73"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-29","0.00","0.0","0.0","90","57","65"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-30","0.00","0.0","0.0","92","63","72"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-31","0.00","0.0","0.0","95","70","76"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-01","0.00","0.0","0.0","97","64","78"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-02","0.00","0.0","0.0","98","64","75"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-03","0.00","0.0","0.0","101","62","69"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-04","0.00","0.0","0.0","102","65","76"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-05","0.00","0.0","0.0","100","61","70"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-06","0.00","0.0","0.0","93","54","59"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-07","0.00","0.0","0.0","83","55","65"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-08","0.00","0.0","0.0","85","60","68"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-09","0.00","0.0","0.0","91","58","67"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-10","0.00","0.0","0.0","92","54","57"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-11","0.00","0.0","0.0","89","51","57"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-12","0.00","0.0","0.0","76","45","55"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-13","0.00","0.0","0.0","73","47","54"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-14","0.00","0.0","0.0","74","46","53"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-15","0.00","0.0","0.0","76","47","54"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-16","0.00","0.0","0.0","69","49","57"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-17","0.00","0.0","0.0","83","55","59"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-18","0.00","0.0","0.0","89","59","61"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-19","0.00","0.0","0.0","91","59","63"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-20","0.00","0.0","0.0","93","61","74"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-21","0.00","0.0","0.0","95","66","74"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-22","0.00","0.0","0.0","101","63","72"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-23","0.00","0.0","0.0","97","65","73"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-24","0.00","0.0","0.0","90","68","75"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-25","0.00","0.0","0.0","93","59","67"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-26","0.00","0.0","0.0","89","56","63"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-27","0.00","0.0","0.0","89","57","68"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-28","0.00","0.0","0.0","91","56","62"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-29","0.02","0.0","0.0","77","59","63"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-06-30","0.34","0.0","0.0","73","54","61"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-01","0.16","0.0","0.0","76","51","59"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-02","0.00","0.0","0.0","84","57","65"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-03","0.00","0.0","0.0","90","61","74"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-07-04","0.00","0.0","0.0","92","54","61"
